"Отметка времени","  Age / Жасы / Возраст ","  Gender / Жынысы / Пол  ","  Field of study / Profession / Оқу бағыты немесе мамандығы / Сфера обучения или профессия:  ","Please rate your agreement with each statement (1 = Strongly disagree … 5 = Strongly agree)

Әр мәлімдемемен қаншалықты келісетініңізді бағалаңыз (1 = Мүлде келіспеймін … 5 = Толықтай келісемін)

Оцените степень согласия с каждым утверждением (1 = Совершенно не согласен … 5 = Полностью согласен) [The system would treat people like me fairly. | Жүйе маған әділ қарайды. | Система будет относиться ко мне справедливо.]","Please rate your agreement with each statement (1 = Strongly disagree … 5 = Strongly agree)

Әр мәлімдемемен қаншалықты келісетініңізді бағалаңыз (1 = Мүлде келіспеймін … 5 = Толықтай келісемін)

Оцените степень согласия с каждым утверждением (1 = Совершенно не согласен … 5 = Полностью согласен) [The criteria used seem fair. | Қолданылған критерийлер әділ көрінеді. | Используемые критерии выглядят справедливыми.]","Please rate your agreement with each statement (1 = Strongly disagree … 5 = Strongly agree)

Әр мәлімдемемен қаншалықты келісетініңізді бағалаңыз (1 = Мүлде келіспеймін … 5 = Толықтай келісемін)

Оцените степень согласия с каждым утверждением (1 = Совершенно не согласен … 5 = Полностью согласен) [People affected have a chance to be heard. | Пайдаланушылардың пікір айту мүмкіндігі бар. | Пользователи имеют возможность быть услышанными.]","Please rate your agreement with each statement (1 = Strongly disagree … 5 = Strongly agree)

Әр мәлімдемемен қаншалықты келісетініңізді бағалаңыз (1 = Мүлде келіспеймін … 5 = Толықтай келісемін)

Оцените степень согласия с каждым утверждением (1 = Совершенно не согласен … 5 = Полностью согласен) [Similar cases are treated similarly. | Ұқсас жағдайлар бірдей қаралады. | Похожие случаи рассматриваются одинаково.]","Please rate your agreement with each statement (1 = Strongly disagree … 5 = Strongly agree)

Әр мәлімдемемен қаншалықты келісетініңізді бағалаңыз (1 = Мүлде келіспеймін … 5 = Толықтай келісемін)

Оцените степень согласия с каждым утверждением (1 = Совершенно не согласен … 5 = Полностью согласен) [I would trust this system in real use. | Мен бұл жүйеге нақты өмірде сенер едім. | Я бы доверял(а) этой системе на практике.]","Please rate your agreement with each statement (1 = Strongly disagree … 5 = Strongly agree)

Әр мәлімдемемен қаншалықты келісетініңізді бағалаңыз (1 = Мүлде келіспеймін … 5 = Толықтай келісемін)

Оцените степень согласия с каждым утверждением (1 = Совершенно не согласен … 5 = Полностью согласен) [The people running this system care about users’ interests. | Жүйені басқаратындар пайдаланушылардың мүддесін ескереді. | Люди, управляющие системой, заботятся об интересах пользователей.]","Please rate your agreement with each statement (1 = Strongly disagree … 5 = Strongly agree)

Әр мәлімдемемен қаншалықты келісетініңізді бағалаңыз (1 = Мүлде келіспеймін … 5 = Толықтай келісемін)

Оцените степень согласия с каждым утверждением (1 = Совершенно не согласен … 5 = Полностью согласен) [I feel comfortable relying on its decisions. | Мен бұл жүйенің шешімдеріне сеніп, жайлы сезінемін. | Мне комфортно полагаться на решения этой системы.]","Please rate your agreement with each statement (1 = Strongly disagree … 5 = Strongly agree)

Әр мәлімдемемен қаншалықты келісетініңізді бағалаңыз (1 = Мүлде келіспеймін … 5 = Толықтай келісемін)

Оцените степень согласия с каждым утверждением (1 = Совершенно не согласен … 5 = Полностью согласен) [I believe problems would be handled responsibly. | Мәселелер жауапкершілікпен шешіледі деп сенемін. | Верю, что проблемы будут решаться ответственно.]","Please rate your agreement with each statement (1 = Strongly disagree … 5 = Strongly agree)

Әр мәлімдемемен қаншалықты келісетініңізді бағалаңыз (1 = Мүлде келіспеймін … 5 = Толықтай келісемін)

Оцените степень согласия с каждым утверждением (1 = Совершенно не согласен … 5 = Полностью согласен) [I know who is responsible if mistakes occur. | Қате болса, кім жауапты екенін білемін. | Я знаю, кто несёт ответственность, если система ошибётся.]","Please rate your agreement with each statement (1 = Strongly disagree … 5 = Strongly agree)

Әр мәлімдемемен қаншалықты келісетініңізді бағалаңыз (1 = Мүлде келіспеймін … 5 = Толықтай келісемін)

Оцените степень согласия с каждым утверждением (1 = Совершенно не согласен … 5 = Полностью согласен) [There is a clear process to challenge decisions. | Шешімге шағымданудың айқын жолы бар. | Есть понятная процедура обжалования решений.]","Please rate your agreement with each statement (1 = Strongly disagree … 5 = Strongly agree)

Әр мәлімдемемен қаншалықты келісетініңізді бағалаңыз (1 = Мүлде келіспеймін … 5 = Толықтай келісемін)

Оцените степень согласия с каждым утверждением (1 = Совершенно не согласен … 5 = Полностью согласен) [There is human oversight to correct errors. | Қателерді түзететін адамдық бақылау бар. | Существует человеческий контроль для исправления ошибок.]","Please rate your agreement with each statement (1 = Strongly disagree … 5 = Strongly agree)

Әр мәлімдемемен қаншалықты келісетініңізді бағалаңыз (1 = Мүлде келіспеймін … 5 = Толықтай келісемін)

Оцените степень согласия с каждым утверждением (1 = Совершенно не согласен … 5 = Полностью согласен) [There would be follow-up when issues occur. | Мәселе туындағанда шаралар қолданылады. | При возникновении проблем принимаются меры.]","Please rate your agreement with each statement (1 = Strongly disagree … 5 = Strongly agree)

Әр мәлімдемемен қаншалықты келісетініңізді бағалаңыз (1 = Мүлде келіспеймін … 5 = Толықтай келісемін)

Оцените степень согласия с каждым утверждением (1 = Совершенно не согласен … 5 = Полностью согласен) [End-users were involved in design. | Пайдаланушылар жобалауға қатысты. | Пользователи участвовали в разработке.]","Please rate your agreement with each statement (1 = Strongly disagree … 5 = Strongly agree)

Әр мәлімдемемен қаншалықты келісетініңізді бағалаңыз (1 = Мүлде келіспеймін … 5 = Толықтай келісемін)

Оцените степень согласия с каждым утверждением (1 = Совершенно не согласен … 5 = Полностью согласен) [Appeal or override process was described. | Шағым немесе түзету процесі сипатталған. | Описан процесс апелляции или отмены.]","Please rate your agreement with each statement (1 = Strongly disagree … 5 = Strongly agree)

Әр мәлімдемемен қаншалықты келісетініңізді бағалаңыз (1 = Мүлде келіспеймін … 5 = Толықтай келісемін)

Оцените степень согласия с каждым утверждением (1 = Совершенно не согласен … 5 = Полностью согласен) [For quality control, please select “Agree.” | Назарды тексеру үшін «Келісемін» таңдаңыз. | Для проверки внимания выберите «Согласен».]","  What made this system feel more or less fair or trustworthy? | Бұл жүйенің әділ немесе сенімді болуына не әсер етті? | Что сделало эту систему более или менее справедливой и достоверной?  ","   Which feature most improves accountability? | Қай элемент жүйенің жауапкершілігін арттырады? | Какой элемент лучше всего повышает ответственность системы?  ","Please rate your agreement with each statement (1 = Strongly disagree … 5 = Strongly agree)
Әр мәлімдемемен қаншалықты келісетініңізді бағалаңыз (1 = Мүлде келіспеймін … 5 = Толықтай келісемін)
Оцените степень согласия с каждым утверждением (1 = Совершенно не согласен … 5 = Полностью согласен) [The system would treat people like me fairly. | Жүйе маған әділ қарайды. | Система будет относиться ко мне справедливо.]","Please rate your agreement with each statement (1 = Strongly disagree … 5 = Strongly agree)
Әр мәлімдемемен қаншалықты келісетініңізді бағалаңыз (1 = Мүлде келіспеймін … 5 = Толықтай келісемін)
Оцените степень согласия с каждым утверждением (1 = Совершенно не согласен … 5 = Полностью согласен) [The criteria used seem fair. | Қолданылған критерийлер әділ көрінеді. | Используемые критерии выглядят справедливыми.]","Please rate your agreement with each statement (1 = Strongly disagree … 5 = Strongly agree)
Әр мәлімдемемен қаншалықты келісетініңізді бағалаңыз (1 = Мүлде келіспеймін … 5 = Толықтай келісемін)
Оцените степень согласия с каждым утверждением (1 = Совершенно не согласен … 5 = Полностью согласен) [People affected have a chance to be heard. | Пайдаланушылардың пікір айту мүмкіндігі бар. | Пользователи имеют возможность быть услышанными.]","Please rate your agreement with each statement (1 = Strongly disagree … 5 = Strongly agree)
Әр мәлімдемемен қаншалықты келісетініңізді бағалаңыз (1 = Мүлде келіспеймін … 5 = Толықтай келісемін)
Оцените степень согласия с каждым утверждением (1 = Совершенно не согласен … 5 = Полностью согласен) [Similar cases are treated similarly. | Ұқсас жағдайлар бірдей қаралады. | Похожие случаи рассматриваются одинаково.]","Please rate your agreement with each statement (1 = Strongly disagree … 5 = Strongly agree)
Әр мәлімдемемен қаншалықты келісетініңізді бағалаңыз (1 = Мүлде келіспеймін … 5 = Толықтай келісемін)
Оцените степень согласия с каждым утверждением (1 = Совершенно не согласен … 5 = Полностью согласен) [I would trust this system in real use. | Мен бұл жүйеге нақты өмірде сенер едім. | Я бы доверял(а) этой системе на практике.]","Please rate your agreement with each statement (1 = Strongly disagree … 5 = Strongly agree)
Әр мәлімдемемен қаншалықты келісетініңізді бағалаңыз (1 = Мүлде келіспеймін … 5 = Толықтай келісемін)
Оцените степень согласия с каждым утверждением (1 = Совершенно не согласен … 5 = Полностью согласен) [The people running this system care about users’ interests. | Жүйені басқаратындар пайдаланушылардың мүддесін ескереді. | Люди, управляющие системой, заботятся об интересах пользователей.]","Please rate your agreement with each statement (1 = Strongly disagree … 5 = Strongly agree)
Әр мәлімдемемен қаншалықты келісетініңізді бағалаңыз (1 = Мүлде келіспеймін … 5 = Толықтай келісемін)
Оцените степень согласия с каждым утверждением (1 = Совершенно не согласен … 5 = Полностью согласен) [I feel comfortable relying on its decisions. | Мен бұл жүйенің шешімдеріне сеніп, жайлы сезінемін. | Мне комфортно полагаться на решения этой системы.]","Please rate your agreement with each statement (1 = Strongly disagree … 5 = Strongly agree)
Әр мәлімдемемен қаншалықты келісетініңізді бағалаңыз (1 = Мүлде келіспеймін … 5 = Толықтай келісемін)
Оцените степень согласия с каждым утверждением (1 = Совершенно не согласен … 5 = Полностью согласен) [I believe problems would be handled responsibly. | Мәселелер жауапкершілікпен шешіледі деп сенемін. | Верю, что проблемы будут решаться ответственно.]","Please rate your agreement with each statement (1 = Strongly disagree … 5 = Strongly agree)
Әр мәлімдемемен қаншалықты келісетініңізді бағалаңыз (1 = Мүлде келіспеймін … 5 = Толықтай келісемін)
Оцените степень согласия с каждым утверждением (1 = Совершенно не согласен … 5 = Полностью согласен) [I know who is responsible if mistakes occur. | Қате болса, кім жауапты екенін білемін. | Я знаю, кто несёт ответственность, если система ошибётся.]","Please rate your agreement with each statement (1 = Strongly disagree … 5 = Strongly agree)
Әр мәлімдемемен қаншалықты келісетініңізді бағалаңыз (1 = Мүлде келіспеймін … 5 = Толықтай келісемін)
Оцените степень согласия с каждым утверждением (1 = Совершенно не согласен … 5 = Полностью согласен) [There is a clear process to challenge decisions. | Шешімге шағымданудың айқын жолы бар. | Есть понятная процедура обжалования решений.]","Please rate your agreement with each statement (1 = Strongly disagree … 5 = Strongly agree)
Әр мәлімдемемен қаншалықты келісетініңізді бағалаңыз (1 = Мүлде келіспеймін … 5 = Толықтай келісемін)
Оцените степень согласия с каждым утверждением (1 = Совершенно не согласен … 5 = Полностью согласен) [There is human oversight to correct errors. | Қателерді түзететін адамдық бақылау бар. | Существует человеческий контроль для исправления ошибок.]","Please rate your agreement with each statement (1 = Strongly disagree … 5 = Strongly agree)
Әр мәлімдемемен қаншалықты келісетініңізді бағалаңыз (1 = Мүлде келіспеймін … 5 = Толықтай келісемін)
Оцените степень согласия с каждым утверждением (1 = Совершенно не согласен … 5 = Полностью согласен) [There would be follow-up when issues occur. | Мәселе туындағанда шаралар қолданылады. | При возникновении проблем принимаются меры.]","Please rate your agreement with each statement (1 = Strongly disagree … 5 = Strongly agree)
Әр мәлімдемемен қаншалықты келісетініңізді бағалаңыз (1 = Мүлде келіспеймін … 5 = Толықтай келісемін)
Оцените степень согласия с каждым утверждением (1 = Совершенно не согласен … 5 = Полностью согласен) [End-users were involved in design. | Пайдаланушылар жобалауға қатысты. | Пользователи участвовали в разработке.]","Please rate your agreement with each statement (1 = Strongly disagree … 5 = Strongly agree)
Әр мәлімдемемен қаншалықты келісетініңізді бағалаңыз (1 = Мүлде келіспеймін … 5 = Толықтай келісемін)
Оцените степень согласия с каждым утверждением (1 = Совершенно не согласен … 5 = Полностью согласен) [Appeal or override process was described. | Шағым немесе түзету процесі сипатталған. | Описан процесс апелляции или отмены.]","Please rate your agreement with each statement (1 = Strongly disagree … 5 = Strongly agree)
Әр мәлімдемемен қаншалықты келісетініңізді бағалаңыз (1 = Мүлде келіспеймін … 5 = Толықтай келісемін)
Оцените степень согласия с каждым утверждением (1 = Совершенно не согласен … 5 = Полностью согласен) [For quality control, please select “Agree.” | Назарды тексеру үшін «Келісемін» таңдаңыз. | Для проверки внимания выберите «Согласен».]","  What made this system feel more or less fair or trustworthy? | Бұл жүйенің әділ немесе сенімді болуына не әсер етті? | Что сделало эту систему более или менее справедливой и достоверной?  ","   Which feature most improves accountability? | Қай элемент жүйенің жауапкершілігін арттырады? | Какой элемент лучше всего повышает ответственность системы?  "
"2025/10/10 1:29:21 PM GMT+5","19","Male / Еркек / Мужчина","Computer Science | Ақпараттық технология | Информатика","Disagree | Келіспеймін | Не согласен","Disagree | Келіспеймін | Не согласен","Strongly disagree | Мүлде келіспеймін | Совершенно не согласен","Strongly disagree | Мүлде келіспеймін | Совершенно не согласен","Disagree | Келіспеймін | Не согласен","Disagree | Келіспеймін | Не согласен","Neutral | Бейтарап | Нейтрален","Strongly disagree | Мүлде келіспеймін | Совершенно не согласен","Strongly disagree | Мүлде келіспеймін | Совершенно не согласен","Disagree | Келіспеймін | Не согласен","Neutral | Бейтарап | Нейтрален","Disagree | Келіспеймін | Не согласен","Strongly disagree | Мүлде келіспеймін | Совершенно не согласен","Strongly disagree | Мүлде келіспеймін | Совершенно не согласен","Agree | Келісемін | Согласен","There is nothing that we know about development process of this system. That is the reason why I can't trust this system if information about it is not free-for-all","There is no feature in this Scenario that improves accountability","Neutral | Бейтарап | Нейтрален","Agree | Келісемін | Согласен","Agree | Келісемін | Согласен","Neutral | Бейтарап | Нейтрален","Agree | Келісемін | Согласен","Neutral | Бейтарап | Нейтрален","Neutral | Бейтарап | Нейтрален","Agree | Келісемін | Согласен","Strongly agree | Толықтай келісемін | Полностью согласен","Strongly agree | Толықтай келісемін | Полностью согласен","Strongly agree | Толықтай келісемін | Полностью согласен","Agree | Келісемін | Согласен","Strongly agree | Толықтай келісемін | Полностью согласен","Strongly agree | Толықтай келісемін | Полностью согласен","Agree | Келісемін | Согласен","Participation of actual end-users of this system made more believe in fairness of it. It raises my hopes that this system will be trustworthy","End-user participations, possibility to appeal or override the processes and regular reviews by a council"
"2025/10/10 1:38:26 PM GMT+5","20","Female / Әйел / Женщина","Computer Science | Ақпараттық технология | Информатика","Agree | Келісемін | Согласен","Agree | Келісемін | Согласен","Neutral | Бейтарап | Нейтрален","Neutral | Бейтарап | Нейтрален","Neutral | Бейтарап | Нейтрален","Neutral | Бейтарап | Нейтрален","Neutral | Бейтарап | Нейтрален","Disagree | Келіспеймін | Не согласен","Strongly disagree | Мүлде келіспеймін | Совершенно не согласен","Disagree | Келіспеймін | Не согласен","Neutral | Бейтарап | Нейтрален","Neutral | Бейтарап | Нейтрален","Disagree | Келіспеймін | Не согласен","Neutral | Бейтарап | Нейтрален","Agree | Келісемін | Согласен","","","Strongly agree | Толықтай келісемін | Полностью согласен","Strongly agree | Толықтай келісемін | Полностью согласен","Strongly agree | Толықтай келісемін | Полностью согласен","Strongly agree | Толықтай келісемін | Полностью согласен","Strongly agree | Толықтай келісемін | Полностью согласен","Strongly agree | Толықтай келісемін | Полностью согласен","Strongly agree | Толықтай келісемін | Полностью согласен","Strongly agree | Толықтай келісемін | Полностью согласен","Strongly agree | Толықтай келісемін | Полностью согласен","Strongly agree | Толықтай келісемін | Полностью согласен","Strongly agree | Толықтай келісемін | Полностью согласен","Strongly agree | Толықтай келісемін | Полностью согласен","Strongly agree | Толықтай келісемін | Полностью согласен","Strongly agree | Толықтай келісемін | Полностью согласен","Strongly agree | Толықтай келісемін | Полностью согласен","То что участвуют студенты и преподаватели оно более справедливо ","То что проблема решается сразу "
"2025/10/10 1:46:32 PM GMT+5","20","Male / Еркек / Мужчина","Computer Science | Ақпараттық технология | Информатика","Agree | Келісемін | Согласен","Agree | Келісемін | Согласен","Agree | Келісемін | Согласен","Agree | Келісемін | Согласен","Agree | Келісемін | Согласен","Agree | Келісемін | Согласен","Agree | Келісемін | Согласен","Agree | Келісемін | Согласен","Agree | Келісемін | Согласен","Agree | Келісемін | Согласен","Agree | Келісемін | Согласен","Agree | Келісемін | Согласен","Agree | Келісемін | Согласен","Agree | Келісемін | Согласен","Agree | Келісемін | Согласен","Данные","Экзамены без ии","Agree | Келісемін | Согласен","Agree | Келісемін | Согласен","Agree | Келісемін | Согласен","Agree | Келісемін | Согласен","Agree | Келісемін | Согласен","Agree | Келісемін | Согласен","Agree | Келісемін | Согласен","Agree | Келісемін | Согласен","Agree | Келісемін | Согласен","Agree | Келісемін | Согласен","Agree | Келісемін | Согласен","Agree | Келісемін | Согласен","Agree | Келісемін | Согласен","Agree | Келісемін | Согласен","Agree | Келісемін | Согласен","Данные","Экзамены без ИИ"
"2025/10/10 2:59:12 PM GMT+5","52","Male / Еркек / Мужчина","Engineering | Инженерия | Инженерия","Neutral | Бейтарап | Нейтрален","Neutral | Бейтарап | Нейтрален","Neutral | Бейтарап | Нейтрален","Neutral | Бейтарап | Нейтрален","Neutral | Бейтарап | Нейтрален","Neutral | Бейтарап | Нейтрален","Neutral | Бейтарап | Нейтрален","Neutral | Бейтарап | Нейтрален","Agree | Келісемін | Согласен","Agree | Келісемін | Согласен","Agree | Келісемін | Согласен","Agree | Келісемін | Согласен","Agree | Келісемін | Согласен","Agree | Келісемін | Согласен","Agree | Келісемін | Согласен","idk","idk","Agree | Келісемін | Согласен","Agree | Келісемін | Согласен","Agree | Келісемін | Согласен","Neutral | Бейтарап | Нейтрален","Agree | Келісемін | Согласен","Neutral | Бейтарап | Нейтрален","Neutral | Бейтарап | Нейтрален","Agree | Келісемін | Согласен","Neutral | Бейтарап | Нейтрален","Agree | Келісемін | Согласен","Neutral | Бейтарап | Нейтрален","Agree | Келісемін | Согласен","Agree | Келісемін | Согласен","Neutral | Бейтарап | Нейтрален","Neutral | Бейтарап | Нейтрален","really dk","respect"
